Id;Point;P;K;Ca;Mg;S;Cu;Zn;Mn;Na;Cd;Cr;Ni;Pb;Al;As;Ba;Categoria
103;point 3;0,367333333;1,35;2,94;0,64;0,37;13,49;52,51;145,5;41,3;< 0,2;< 0,4;3,973;2,707;98,6;3,97;23,91;Parte aérea
104;point 3;0,467;1,285;3,125;0,64;0,49;11,275;70,89;218,1;38,32;< 0,2;< 0,4;2,027;3,2175;74,55;2,778;5,7525;Parte aérea
105;point 3;0,531333333;1,42;2,75;0,51;0,31;6,742;54,18;482,9;60,29;< 0,2;< 0,4;2,54;2,084;119,9;2,261;12,8;Parte aérea
106;point 4;0,519;1,35;3,42;0,53;0,32;9,98;30,82;138,2;82,45;< 0,2;0,746;1,203;3,326;384,7;3,092;15,81;Parte aérea
107;point 4;0,652;1,05;2,24;0,39;0,34;12,59;65,35;291,4;64,2;< 0,2;0,555;2,584;2,735;283,8;1,361;10,81;Parte aérea
108;point 4;;;;;;;;;;;;;;;;;Parte aérea
109;point 4;;;;;;;;;;;;;;;;;Parte aérea
110;point 5;;;;;;;;;;;;;;;;;Parte aérea
111;point 5;0,324666667;1,18;5,09;0,59;0,3;8,124;38,76;518,3;47,39;< 0,2;< 0,4;2,982;3,215;480,8;3,933;20,33;Parte aérea
112;point 5;0,556333333;1,31;5,75;0,7;0,36;16,04;58,53;304,5;94,87;< 0,2;0,462;2,678;2,976;638,8;< 2;30,84;Parte aérea
113;point 5;0,289333333;0,71;3,04;0,42;0,38;10,02;39,47;193,9;32,75;< 0,2;< 0,4;2,68;3,402;79,54;3,346;18,06;Parte aérea
114;point 5;0,195666667;0,9;2,8;0,625;0,33;12,435;36,265;509,5;75,655;< 0,2;< 0,4;7,6765;3,119;145,85;2,704;23,455;Parte aérea
115;point 5;0,251666667;0,53;2,29;0,38;0,24;9,888;36,52;177,9;60,57;< 0,2;< 0,4;9,176;2,028;106;2,621;56,57;Parte aérea
116;point 6;0,361166667;1,06;3,22;0,55;0,335;8,884;37,935;280,45;37,13;< 0,2;< 0,4;1,556;3,2865;131,05;3,146;13,77;Parte aérea
117;point 6;0,350666667;1,09;3,43;0,53;0,26;7,677;38,04;207,5;50,65;< 0,2;< 0,4;0,79;3,431;163,5;3,062;13,14;Parte aérea
118;point 6;0,383833333;1,015;2,23;0,45;0,365;6,6655;42,73;198,25;31,38;< 0,2;< 0,4;1,499;2,6295;70,975;2,9855;9,3805;Parte aérea
119;point 7;0,580666667;1;3,19;0,55;0,34;10,12;41,7;742,4;37,72;< 0,2;1,045;4,442;3,539;284,3;1,801;33,94;Parte aérea
120;point 7;0,534666667;0,87;5,17;0,76;0,28;7,771;37,65;439,9;34,26;< 0,2;< 0,4;2,22;3,425;338;3,148;68,07;Parte aérea
121;point 7;0,456;0,7;3,99;0,65;0,26;6,766;27,86;198,6;22,57;< 0,2;< 0,4;2,639;2,299;170,4;2,784;38,1;Parte aérea
122;point 8;0,563;1,26;2,86;0,55;0,31;13,95;42,68;237,1;20,05;< 0,2;< 0,4;2,245;2,811;55,82;3,207;29,42;Parte aérea
123;point 8;0,299666667;0,82;3,53;0,59;0,26;10,06;32,83;214,9;19,61;< 0,2;< 0,4;3,574;3,9;66,24;3,42;29,57;Parte aérea
124;point 8;0,493666667;0,97;2,35;0,5;0,3;12,12;39,98;275,3;27,76;< 0,2;< 0,4;6,213;3,694;50,27;2,402;10,26;Parte aérea
